ltable_id,rtable_id,gold
6,2110,0
6,2119,0
6,2734,0
6,2735,0
6,2736,0
6,2748,0
6,3071,0
8,294,0
8,2117,0
8,2124,0
8,2125,0
8,2126,0
8,2128,0
8,2692,0
8,2736,0
8,3069,0
10,3082,0
12,768,0
18,147,0
18,149,0
18,2516,0
23,2129,0
24,602,0
29,1088,0
31,890,0
32,2648,0
34,3424,0
36,2442,0
41,787,0
42,2975,0
43,883,0
45,194,0
45,195,0
45,196,0
46,3428,0
47,2063,0
49,864,0
49,999,0
49,1000,0
49,1822,0
50,3093,0
52,1435,0
52,1448,0
56,800,0
57,1385,0
63,2522,0
64,2251,0
68,2195,0
70,2478,0
71,371,0
71,1732,0
71,2735,0
74,2006,0
81,3243,0
83,1183,0
86,12,0
86,3401,0
88,1377,0
89,2375,0
92,732,0
95,283,0
98,954,0
98,2218,0
98,3369,0
100,2232,0
109,1443,0
111,739,0
112,1619,0
113,956,0
113,1152,0
113,1964,0
113,2186,0
114,408,0
116,1890,0
117,75,0
121,2301,0
121,2302,0
123,3045,0
126,2476,0
126,2483,0
126,2541,0
130,1604,0
135,306,0
136,2482,0
141,3244,0
144,826,0
144,832,0
146,903,0
148,10,0
150,2826,0
152,1471,0
153,3321,0
154,829,0
155,1776,0
155,2130,0
155,2134,0
155,2135,0
156,1338,0
156,1964,0
157,1949,0
158,1985,0
167,1018,0
170,2539,0
177,1152,0
177,1499,0
177,1964,0
177,2843,0
179,2948,0
182,2121,0
182,2123,0
182,2124,0
182,2125,0
182,2128,0
183,2990,0
185,634,0
190,3278,0
194,3052,0
201,623,0
201,958,0
205,881,0
207,824,0
209,2122,0
210,3104,0
211,3287,0
213,3098,0
214,371,0
219,857,0
219,858,0
224,2334,0
224,2341,0
226,498,0
229,1272,0
231,1724,0
232,123,0
233,2489,0
236,1436,0
241,68,0
241,70,0
243,2699,0
244,2543,0
245,2772,0
248,2929,0
249,3372,0
254,2512,0
258,1183,0
258,2837,0
258,2845,0
261,2424,0
261,2427,0
262,2121,0
262,2124,0
262,2128,0
263,1896,0
263,2855,0
264,3159,0
268,159,0
273,48,0
273,82,0
273,92,0
273,93,0
274,813,0
278,2085,0
293,1985,0
295,1184,0
300,2450,0
300,3323,0
300,3386,0
301,2173,0
306,827,0
306,831,0
306,2528,0
307,185,0
307,186,0
308,2516,0
309,3237,0
316,2574,0
318,2889,0
319,10,0
324,2507,0
326,2520,0
328,2810,0
331,204,0
331,207,0
332,1137,0
333,2301,0
333,2302,0
334,204,0
334,207,0
334,208,0
335,1866,0
336,2588,0
338,2898,0
340,1048,0
341,1552,0
341,2053,0
345,2761,0
345,2762,0
347,2600,0
354,2432,0
354,2433,0
355,1126,0
357,2504,0
360,2628,0
361,1592,0
363,1776,0
363,2130,0
363,2134,0
363,2135,0
363,2136,0
368,2834,0
370,973,0
374,823,0
379,2855,0
379,3309,0
381,2099,0
382,1948,0
388,151,0
390,977,0
391,1398,0
391,3504,0
395,2473,0
397,371,0
397,2119,0
397,3071,0
401,135,0
405,1776,0
405,2130,0
405,2135,0
405,2696,0
413,1734,0
414,811,0
416,2873,0
417,270,0
419,1669,0
422,366,0
422,376,0
422,382,0
423,2534,0
428,2967,0
429,2117,0
429,3069,0
430,1827,0
434,1158,0
436,3062,0
436,3066,0
439,12,0
442,3409,0
447,2821,0
448,750,0
454,2338,0
456,2142,0
457,672,0
458,1131,0
459,3040,0
461,2840,0
464,2508,0
467,1195,0
472,1398,0
472,1399,0
472,1400,0
472,2096,0
472,3139,0
472,3141,0
473,2106,0
478,97,0
484,829,0
486,3378,0
488,132,0
497,533,0
500,1125,0
500,2590,0
502,1462,0
508,2085,0
509,2006,0
510,406,0
510,3118,0
511,2061,0
511,3062,0
514,157,0
515,3059,0
518,817,0
518,818,0
518,819,0
518,821,0
520,1848,0
520,2130,0
520,2131,0
520,2132,0
520,2133,0
520,2695,0
520,2738,0
520,2741,0
520,3082,0
521,2785,0
525,2079,0
525,2081,0
525,2083,0
526,1139,0
527,1625,0
527,2037,0
527,2039,0
527,2041,0
527,2042,0
527,2043,0
527,2881,0
531,122,0
535,1276,0
537,1357,0
540,1993,0
545,2431,0
548,409,0
553,2734,0
554,2728,0
557,2629,0
561,1451,0
562,2104,0
564,2900,0
565,372,0
565,1776,0
565,2130,0
565,2135,0
565,2866,0
569,3442,0
572,760,0
572,761,0
575,1420,0
580,3243,0
581,3324,0
600,883,0
601,229,0
601,231,0
604,3090,0
605,1901,0
610,2068,0
611,833,0
614,2137,0
615,3141,0
615,3504,0
618,143,0
619,2047,0
621,1182,0
622,815,0
624,2203,0
624,2590,0
629,2101,0
630,2509,0
634,1357,0
636,447,0
645,2904,0
647,10,0
653,2893,0
653,2900,0
653,2901,0
653,2902,0
655,2971,0
657,453,0
658,2405,0
666,814,0
667,2761,0
667,2762,0
668,15,0
669,2907,0
670,2149,0
